BL8 4EP,"26 Keats Road, Greenmount, Bury, Greater Manchester",-1
BL8 4EY,"4 St Austell Drive, Greenmount, Bury, Greater Manchester",4 
BL8 4EN,"37 Byron Road, Greenmount, Bury, Greater Manchester",-1
BL8 4EL,"435 Holcombe Road, Greenmount, Bury, Greater Manchester",-1
BL8 4EA,"7 Nabbs Way, Greenmount, Bury, Greater Manchester",-1
BL8 4EQ,"3 The Green, Greenmount, Bury, Greater Manchester",-1
BL8 4EY,"6 St Austell Drive, Greenmount, Bury, Greater Manchester",-1
BL8 4EP,"20 Keats Road, Greenmount, Bury, Greater Manchester",-1
BL8 4EP,"27 Keats Road, Greenmount, Bury, Greater Manchester",-1
BL8 4EP,"36 Keats Road, Greenmount, Bury, Greater Manchester",-1
BL8 4FA,"3 Primrose Bank, Tottington, Bury, Greater Manchester",4 
BL8 4FB,"3 Heather Bank, Tottington, Bury, Greater Manchester",4 
BL8 4FB,"6 Heather Bank, Tottington, Bury, Greater Manchester",3 
BL8 4FB,"2 Heather Bank, Tottington, Bury, Greater Manchester",-1
BL8 4FA,"7 Primrose Bank, Tottington, Bury, Greater Manchester",-1
BL8 4GT,"Apartment 23, Hawkshaw Lodge, Kerry Hill, Hawkshaw, Bury, Greater Manchester",-1
BL8 4GT,"Apartment 22, Hawkshaw Lodge, Kerry Hill, Hawkshaw, Bury, Greater Manchester",-1
BL8 4GT,"Apartment 2, Hawkshaw Lodge, Kerry Hill, Hawkshaw, Bury, Greater Manchester",-1
BL8 4GT,"Apartment 1, Hawkshaw Lodge, Kerry Hill, Hawkshaw, Bury, Greater Manchester",-1
BL8 4GT,"Apartment 21, Hawkshaw Lodge, Kerry Hill, Hawkshaw, Bury, Greater Manchester",-1
BL8 4GT,"Apartment 3, Hawkshaw Lodge, Kerry Hill, Hawkshaw, Bury, Greater Manchester",-1
BL8 4GT,"Apartment 9, Hawkshaw Lodge, Kerry Hill, Hawkshaw, Bury, Greater Manchester",-1
BL8 4GT,"Apartment 8, Hawkshaw Lodge, Kerry Hill, Hawkshaw, Bury, Greater Manchester",-1
BL8 4GT,"Apartment 20, Hawkshaw Lodge, Kerry Hill, Hawkshaw, Bury, Greater Manchester",-1
BL8 4GT,"Apartment 6, Hawkshaw Lodge, Kerry Hill, Hawkshaw, Bury, Greater Manchester",-1
BL8 4GT,"Apartment 5, Hawkshaw Lodge, Kerry Hill, Hawkshaw, Bury, Greater Manchester",-1
